leaf_id	reference_id	family	description
REF__mgl__16	A0A803PP87	MGL	A0A803PP87 family=MGL species=Cannabis_sativa source=UniProt reviewed=no uniprot=A0A803PP87
REF__cgs__17	A0A803QMI1	CGS	A0A803QMI1 family=CGS species=Cannabis_sativa source=UniProt reviewed=no uniprot=A0A803QMI1
REF__cbl__18	M5VQF5	CBL	M5VQF5 family=CBL species=Prunus_persica source=UniProt reviewed=no uniprot=M5VQF5
REF__mgl__19	M5W9A6	MGL	M5W9A6 family=MGL species=Prunus_persica source=UniProt reviewed=no uniprot=M5W9A6
REF__cgs__20	M5WVD8	CGS	M5WVD8 family=CGS species=Prunus_persica source=UniProt reviewed=no uniprot=M5WVD8
REF__cbl__21	W9RN09	CBL	W9RN09 family=CBL species=Morus_notabilis source=UniProt reviewed=no uniprot=W9RN09
REF__cgs__22	A0A6P3Z493	CGS	A0A6P3Z493 family=CGS species=Ziziphus_jujuba source=UniProt reviewed=no uniprot=A0A6P3Z493
REF__mgl__23	A0A6P4AMC2	MGL	A0A6P4AMC2 family=MGL species=Ziziphus_jujuba source=UniProt reviewed=no uniprot=A0A6P4AMC2
REF__mgl__24	W9RC18	MGL	W9RC18 family=MGL species=Morus_notabilis source=UniProt reviewed=no uniprot=W9RC18
REF__cscbl_like__25	F4HYF3	CSCBL_like	F4HYF3 family=CSCBL_like species=Arabidopsis_thaliana source=UniProt reviewed=yes uniprot=F4HYF3
REF__cscbl_like__26	F4K5T2	CSCBL_like	F4K5T2 family=CSCBL_like species=Arabidopsis_thaliana source=UniProt reviewed=yes uniprot=F4K5T2
REF__cscbl_like__27	Q9M1R1	CSCBL_like	Q9M1R1 family=CSCBL_like species=Arabidopsis_thaliana source=UniProt reviewed=yes uniprot=Q9M1R1
REF__cscbl_like__28	A1L4V7	CSCBL_like	A1L4V7 family=CSCBL_like species=Arabidopsis_thaliana source=UniProt reviewed=yes uniprot=A1L4V7
REF__cscbl_like__29	A0A2P5B0H3	CSCBL_like	A0A2P5B0H3 family=CSCBL_like species=Parasponia_andersonii source=UniProt reviewed=no uniprot=A0A2P5B0H3
REF__cscbl_like__30	A0A2P5DN07	CSCBL_like	A0A2P5DN07 family=CSCBL_like species=Trema_orientale source=UniProt reviewed=no uniprot=A0A2P5DN07
REF__cscbl_like__31	A0A2P6R0Y1	CSCBL_like	A0A2P6R0Y1 family=CSCBL_like species=Rosa_chinensis source=UniProt reviewed=no uniprot=A0A2P6R0Y1
REF__cscbl_like__32	A0A498I6N4	CSCBL_like	A0A498I6N4 family=CSCBL_like species=Malus_domestica source=UniProt reviewed=no uniprot=A0A498I6N4
REF__cscbl_like__33	A0A4Y1QQ81	CSCBL_like	A0A4Y1QQ81 family=CSCBL_like species=Prunus_dulcis source=UniProt reviewed=no uniprot=A0A4Y1QQ81
REF__cscbl_like__34	A0A6J5TKI2	CSCBL_like	A0A6J5TKI2 family=CSCBL_like species=Prunus_armeniaca source=UniProt reviewed=no uniprot=A0A6J5TKI2
REF__cscbl_like__35	A0A6P5SQQ5	CSCBL_like	A0A6P5SQQ5 family=CSCBL_like species=Prunus_avium source=UniProt reviewed=no uniprot=A0A6P5SQQ5
REF__cscbl_like__36	A0A803PH46	CSCBL_like	A0A803PH46 family=CSCBL_like species=Cannabis_sativa source=UniProt reviewed=no uniprot=A0A803PH46
REF__cscbl_like__37	A0AA88A3X0	CSCBL_like	A0AA88A3X0 family=CSCBL_like species=Ficus_carica source=UniProt reviewed=no uniprot=A0AA88A3X0
REF__cscbl_like__38	W9RCK9	CSCBL_like	W9RCK9 family=CSCBL_like species=Morus_notabilis source=UniProt reviewed=no uniprot=W9RCK9
REF__cscbl_like__39	A0A5N5H6H3	CSCBL_like	A0A5N5H6H3 family=CSCBL_like species=Pyrus_ussuriensis_x_Pyrus_communis source=UniProt reviewed=no uniprot=A0A5N5H6H3
REF__cscbl_like__40	A0A6P3ZBA6	CSCBL_like	A0A6P3ZBA6 family=CSCBL_like species=Ziziphus_jujuba source=UniProt reviewed=no uniprot=A0A6P3ZBA6
REF__cscbl_like__41	A0A6P4AC19	CSCBL_like	A0A6P4AC19 family=CSCBL_like species=Ziziphus_jujuba source=UniProt reviewed=no uniprot=A0A6P4AC19
