gene_id	family	source	discovery_round	sequence_scope	matched_protein_id	hmmer_score	hmmer_evalue	length	original_family	resolution_group	family_resolution_method	family_resolution_status	nearest_reference_id	nearest_reference_family	meme_status	meme_status_quality_aware	motif_support_quality	singleton_passthrough	meme_evaluable	meme_biological_pass	meme_operational_pass	meme_pass	pfam_pass	pfam_status	stability_pass	selection_annotated	contamination_pass	pfam_gate_active	stability_gate_active	contamination_gate_active	final_pass
GMO.00002453.v1.g538270.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002453.v1.g538270.t1	98.8	5.6e-27	357							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001311.v1.g148440.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001311.v1.g148440.t1	98.5	8.3e-27	364							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002453.v1.g536070.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002453.v1.g536070.t1	98.5	7.3e-27	356							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002500.v1.g571440.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002500.v1.g571440.t1	98.5	8.3e-27	364							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002283.v1.g425750.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00002283.v1.g425750.t2	96.2	3.6e-26	365							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002283.v1.g425720.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002283.v1.g425720.t1	95.6	5.8e-26	365							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001044.v1.g095260.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00001044.v1.g095260.t2	95.3	6.9e-26	365							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001044.v1.g095320.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001044.v1.g095320.t1	95.3	7.0e-26	365							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002497.v1.g564110.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002497.v1.g564110.t1	95.1	9.8e-26	382							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002498.v1.g566020.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002498.v1.g566020.t1	95.0	1.0e-25	382							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001207.v1.g119650.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001207.v1.g119650.t1	94.0	1.8e-25	360							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002283.v1.g430470.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002283.v1.g430470.t1	94.0	1.8e-25	360							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002363.v1.g507560.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002363.v1.g507560.t1	94.0	2.1e-25	381							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000574.v1.g030570.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00000574.v1.g030570.t2	93.9	2.2e-25	325							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001044.v1.g095250.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001044.v1.g095250.t1	93.6	2.5e-25	355							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001825.v1.g252830.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001825.v1.g252830.t1	93.4	3.3e-25	401							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001044.v1.g095310.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001044.v1.g095310.t1	92.9	4.0e-25	359							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002283.v1.g425730.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002283.v1.g425730.t1	92.9	4.0e-25	359							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002497.v1.g564520.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002497.v1.g564520.t1	89.8	4.1e-24	379							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002498.v1.g565590.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002498.v1.g565590.t1	89.8	4.1e-24	379							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002253.v1.g378530.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002253.v1.g378530.t1	89.1	7.0e-24	386							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002557.v1.g619440.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002557.v1.g619440.t1	89.0	6.4e-24	357							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002785.v1.g683860.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002785.v1.g683860.t1	89.0	6.4e-24	357							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001044.v1.g095330.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001044.v1.g095330.t1	87.9	1.4e-23	362							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002283.v1.g425640.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002283.v1.g425640.t1	87.9	1.4e-23	362							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000895.v1.g084520.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00000895.v1.g084520.t2	87.8	1.7e-23	474							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002453.v1.g537460.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00002453.v1.g537460.t2	87.6	1.9e-23	474							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001329.v1.g150790.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001329.v1.g150790.t1	85.9	5.8e-23	357							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001783.v1.g243640.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001783.v1.g243640.t1	83.4	3.6e-22	394							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002556.v1.g618990.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002556.v1.g618990.t1	83.4	3.5e-22	393							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000574.v1.g029430.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00000574.v1.g029430.t1	78.9	9.9e-21	348							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001808.v1.g249020.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001808.v1.g249020.t1	78.9	9.9e-21	348							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001366.v1.g169500.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001366.v1.g169500.t1	78.4	1.4e-20	325							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000531.v1.g017320.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00000531.v1.g017320.t1	78.3	1.5e-20	341							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001783.v1.g243630.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001783.v1.g243630.t1	76.3	5.7e-20	409							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002556.v1.g618980.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002556.v1.g618980.t1	73.9	3.2e-19	409							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001343.v1.g160560.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001343.v1.g160560.t1	68.8	1.3e-17	321							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001385.v1.g174970.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001385.v1.g174970.t1	68.5	1.5e-17	321							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002498.v1.g567040.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002498.v1.g567040.t1	66.6	6.1e-17	339							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001559.v1.g195870.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001559.v1.g195870.t1	66.4	7.0e-17	388							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002326.v1.g482160.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002326.v1.g482160.t1	66.3	7.3e-17	388							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002497.v1.g563110.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002497.v1.g563110.t1	63.3	6.4e-16	334							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002498.v1.g567020.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00002498.v1.g567020.t2	63.3	6.4e-16	333							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002497.v1.g563080.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002497.v1.g563080.t1	61.0	3.4e-15	339							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001385.v1.g174950.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001385.v1.g174950.t1	59.1	1.3e-14	262							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002497.v1.g563100.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002497.v1.g563100.t1	57.0	6.1e-14	345							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002497.v1.g563120.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00002497.v1.g563120.t2	55.7	1.5e-13	331							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002498.v1.g567010.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00002498.v1.g567010.t2	55.7	1.5e-13	331							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002356.v1.g503070.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002356.v1.g503070.t1	55.5	1.7e-13	385							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002636.v1.g647740.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002636.v1.g647740.t1	54.9	2.7e-13	366							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001745.v1.g234870.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00001745.v1.g234870.t1	53.2	8.8e-13	366							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002363.v1.g510460.t2	Alliinase	proteome_v1_exact	round1	full_length	GMO.00002363.v1.g510460.t2	508.2	3.3e-151	433							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001056.v1.g098240.t1	Alliinase	proteome_v1_exact	round1	full_length	GMO.00001056.v1.g098240.t1	503.7	7.8e-150	494							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001056.v1.g098250.t1	Alliinase	proteome_v1_exact	round1	full_length	GMO.00001056.v1.g098250.t1	501.4	4.0e-149	480							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002363.v1.g510450.t2	Alliinase	proteome_v1_exact	round1	full_length	GMO.00002363.v1.g510450.t2	500.3	8.4e-149	475							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002363.v1.g510470.t1	Alliinase	proteome_v1_exact	round1	full_length	GMO.00002363.v1.g510470.t1	485.4	2.9e-144	465							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000748.v1.g065690.t1	AOC	proteome_v1_exact	round2	full_length	GMO.00000748.v1.g065690.t1	321.6	3.5e-95	250							confirmed	confirmed	strong_plus_weaker	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002452.v1.g534540.t1	AOC	proteome_v1_exact	round2	full_length	GMO.00002452.v1.g534540.t1	321.6	3.5e-95	250							confirmed	confirmed	strong_plus_weaker	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000741.v1.g063280.t1	AOC	proteome_v1_exact	round2	full_length	GMO.00000741.v1.g063280.t1	317.0	8.7e-94	258							confirmed	confirmed	strong_plus_weaker	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002272.v1.g401360.t1	AOC	proteome_v1_exact	round2	full_length	GMO.00002272.v1.g401360.t1	317.0	8.7e-94	258							confirmed	confirmed	strong_plus_weaker	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000748.v1.g065700.t1	AOC	proteome_v1_exact	round2	full_length	GMO.00000748.v1.g065700.t1	310.8	7.2e-92	184							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002452.v1.g534530.t1	AOC	proteome_v1_exact	round2	full_length	GMO.00002452.v1.g534530.t1	310.8	7.2e-92	184							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002176.v1.g338720.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002176.v1.g338720.t1	794.3	1.5e-238	526							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002211.v1.g343080.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002211.v1.g343080.t1	794.3	1.5e-238	526							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002275.v1.g408390.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002275.v1.g408390.t2	672.4	9.7e-202	480							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002368.v1.g515840.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002368.v1.g515840.t1	567.1	1.0e-169	504							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001736.v1.g232740.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001736.v1.g232740.t1	565.9	2.5e-169	504							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002176.v1.g313970.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002176.v1.g313970.t1	559.6	2.0e-167	500							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002368.v1.g515760.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002368.v1.g515760.t1	551.9	4.2e-165	483							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001736.v1.g232730.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001736.v1.g232730.t1	551.5	5.7e-165	483							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001753.v1.g239020.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001753.v1.g239020.t1	551.5	5.8e-165	484							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002631.v1.g642910.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002631.v1.g642910.t1	548.6	4.2e-164	484							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000719.v1.g049070.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000719.v1.g049070.t2	439.0	5.2e-131	353							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001180.v1.g117620.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001180.v1.g117620.t1	398.7	1.0e-117	506							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002354.v1.g500220.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002354.v1.g500220.t1	398.7	1.0e-117	506							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002521.v1.g598140.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002521.v1.g598140.t1	375.0	1.6e-110	505							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001309.v1.g145030.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001309.v1.g145030.t1	374.4	2.3e-110	607							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001599.v1.g206990.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001599.v1.g206990.t1	374.4	2.3e-110	607							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001059.v1.g101010.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001059.v1.g101010.t1	374.2	2.7e-110	505							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001016.v1.g092530.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001016.v1.g092530.t1	373.1	6.0e-110	531							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000687.v1.g046570.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000687.v1.g046570.t1	372.7	8.1e-110	514							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002294.v1.g447570.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002294.v1.g447570.t1	372.7	8.1e-110	514							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002516.v1.g581330.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002516.v1.g581330.t1	372.6	8.4e-110	531							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002317.v1.g455750.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002317.v1.g455750.t1	370.7	3.1e-109	517							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000552.v1.g021570.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000552.v1.g021570.t1	368.3	1.7e-108	518							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002176.v1.g310450.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002176.v1.g310450.t1	365.9	8.9e-108	502							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002176.v1.g310430.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002176.v1.g310430.t1	364.8	2.0e-107	503							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002284.v1.g433830.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002284.v1.g433830.t1	364.7	2.1e-107	523							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000571.v1.g024880.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000571.v1.g024880.t1	364.3	2.7e-107	520							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002325.v1.g479040.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002325.v1.g479040.t1	363.5	4.9e-107	516							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002288.v1.g440220.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002288.v1.g440220.t1	363.1	6.5e-107	511							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000937.v1.g088370.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000937.v1.g088370.t1	362.2	1.2e-106	521							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002284.v1.g433880.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002284.v1.g433880.t1	362.2	1.2e-106	521							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002802.v1.g687960.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002802.v1.g687960.t1	362.1	1.3e-106	524							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002654.v1.g656020.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002654.v1.g656020.t1	361.7	1.7e-106	524							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001329.v1.g149450.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001329.v1.g149450.t1	358.5	1.6e-105	513							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000571.v1.g024870.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000571.v1.g024870.t1	358.3	1.8e-105	516							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002523.v1.g599610.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002523.v1.g599610.t1	357.2	3.8e-105	513							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002317.v1.g455070.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002317.v1.g455070.t1	356.9	4.8e-105	501							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001309.v1.g144990.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001309.v1.g144990.t1	355.5	1.3e-104	531							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000693.v1.g047300.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000693.v1.g047300.t1	354.8	2.2e-104	501							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001599.v1.g207010.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001599.v1.g207010.t1	354.8	2.0e-104	531							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001329.v1.g149470.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001329.v1.g149470.t1	354.1	3.4e-104	513							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002284.v1.g433870.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002284.v1.g433870.t1	353.9	3.9e-104	523							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002427.v1.g527130.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002427.v1.g527130.t1	353.2	6.3e-104	493							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000937.v1.g088360.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000937.v1.g088360.t1	352.9	8.1e-104	524							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002523.v1.g599630.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002523.v1.g599630.t1	352.2	1.3e-103	513							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
