gene_id	reporting_category	biochemical_context	original_families	resolution_group	family_resolution_method	family_resolution_status	nearest_reference_id	nearest_reference_family	nearest_reference_distance	hmmer_score	hmmer_evalue	length	source	sequence_scope	discovery_round	matched_protein_id	meme_status	meme_status_quality_aware	motif_support_quality	meme_evaluable	singleton_passthrough	n_motifs_found	n_motifs_expected	motif_ids	motif_best_evalue	motif_coverage	expected_domain_record_present	pfam_n_domains	pfam_domain_architecture	pfam_best_evalue	pfam_total_score	pfam_confirmation_rule	pfam_required_ids	pfam_required_n_domains	pfam_required_n_present	domain_confirmation_status	domain_validated	meme_biological_pass	meme_operational_pass	meme_pass	pfam_pass	pfam_status	pfam_gate_active	final_pass	final_outcome
GMO.00002453.v1.g538270.t1	adh	Oxylipin and volatile-product chemistry								98.8	5.6e-27	357	proteome_v1_exact	full_length	round1	GMO.00002453.v1.g538270.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	7.93e-50	0.8	true	2	both	3.3e-32	182.2	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001311.v1.g148440.t1	adh	Oxylipin and volatile-product chemistry								98.5	8.300000000000001e-27	364	proteome_v1_exact	full_length	round1	GMO.00001311.v1.g148440.t1	confirmed	confirmed	strong_only	True	False	7	10	motif_10,motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	8.04e-19	0.7	true	2	both	5.7e-32	194.5	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002453.v1.g536070.t1	adh	Oxylipin and volatile-product chemistry								98.5	7.300000000000001e-27	356	proteome_v1_exact	full_length	round1	GMO.00002453.v1.g536070.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	7.95e-47	0.8	true	2	both	3.6e-32	188.2	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002500.v1.g571440.t1	adh	Oxylipin and volatile-product chemistry								98.5	8.300000000000001e-27	364	proteome_v1_exact	full_length	round1	GMO.00002500.v1.g571440.t1	confirmed	confirmed	strong_only	True	False	7	10	motif_10,motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	8.04e-19	0.7	true	2	both	5.7e-32	194.5	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002283.v1.g425750.t2	adh	Oxylipin and volatile-product chemistry								96.2	3.6e-26	365	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g425750.t2	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.28e-57	0.8	true	2	both	2.3e-31	175.5	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002283.v1.g425720.t1	adh	Oxylipin and volatile-product chemistry								95.6	5.8e-26	365	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g425720.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	2.5300000000000007e-56	0.8	true	2	both	3.7e-31	175.3	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001044.v1.g095260.t2	adh	Oxylipin and volatile-product chemistry								95.3	6.9e-26	365	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095260.t2	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.28e-57	0.8	true	2	both	4.4999999999999995e-31	173.0	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001044.v1.g095320.t1	adh	Oxylipin and volatile-product chemistry								95.3	7e-26	365	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095320.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.28e-57	0.8	true	2	both	4.4999999999999995e-31	175.1	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002497.v1.g564110.t1	adh	Oxylipin and volatile-product chemistry								95.1	9.8e-26	382	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g564110.t1	confirmed	confirmed	strong_only	True	False	7	10	motif_2,motif_3,motif_4,motif_6,motif_7,motif_8,motif_9	2.23e-19	0.7	true	2	both	6.299999999999999e-31	174.7	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002498.v1.g566020.t1	adh	Oxylipin and volatile-product chemistry								95.0	9.999999999999999e-26	382	proteome_v1_exact	full_length	round1	GMO.00002498.v1.g566020.t1	confirmed	confirmed	strong_only	True	False	7	10	motif_2,motif_3,motif_4,motif_6,motif_7,motif_8,motif_9	2.23e-19	0.7	true	2	both	6.299999999999999e-31	174.7	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001207.v1.g119650.t1	adh	Oxylipin and volatile-product chemistry								94.0	1.8e-25	360	proteome_v1_exact	full_length	round1	GMO.00001207.v1.g119650.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	2.75e-52	0.8	true	2	both	6.3999999999999995e-31	162.6	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002283.v1.g430470.t1	adh	Oxylipin and volatile-product chemistry								94.0	1.8e-25	360	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g430470.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	2.75e-52	0.8	true	2	both	6.3999999999999995e-31	162.6	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002363.v1.g507560.t1	adh	Oxylipin and volatile-product chemistry								94.0	2.1e-25	381	proteome_v1_exact	full_length	round1	GMO.00002363.v1.g507560.t1	confirmed	confirmed	strong_only	True	False	7	10	motif_10,motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	1.89e-18	0.7	true	2	both	1.2000000000000001e-30	166.7	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00000574.v1.g030570.t2	adh	Oxylipin and volatile-product chemistry								93.9	2.1999999999999997e-25	325	proteome_v1_exact	full_length	round1	GMO.00000574.v1.g030570.t2	confirmed	confirmed	strong_only	True	False	5	10	motif_2,motif_3,motif_4,motif_7,motif_8	5.02e-15	0.5	true	2	both	1.2000000000000001e-30	151.1	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001044.v1.g095250.t1	adh	Oxylipin and volatile-product chemistry								93.6	2.5e-25	355	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095250.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.23e-53	0.8	true	2	both	1.8e-30	176.7	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001056.v1.g098710.t1	adh	Oxylipin and volatile-product chemistry								93.6	2.8e-25	349	proteome_v1_exact	full_length	round1	GMO.00001056.v1.g098710.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	1.02e-55	0.5	true	1	PF00107	1.9999999999999998e-30	92.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00001825.v1.g252830.t1	adh	Oxylipin and volatile-product chemistry								93.4	3.3e-25	401	proteome_v1_exact	full_length	round1	GMO.00001825.v1.g252830.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_2,motif_3,motif_4,motif_7,motif_8	5.02e-15	0.5	true	2	both	1.9e-30	150.0	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001044.v1.g095310.t1	adh	Oxylipin and volatile-product chemistry								92.9	3.9999999999999997e-25	359	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095310.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	6.15e-55	0.8	true	2	both	3e-30	174.7	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002283.v1.g425730.t1	adh	Oxylipin and volatile-product chemistry								92.9	3.9999999999999997e-25	359	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g425730.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	9.49e-55	0.8	true	2	both	3e-30	177.7	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002363.v1.g509900.t1	adh	Oxylipin and volatile-product chemistry								90.5	2.4e-24	349	proteome_v1_exact	full_length	round1	GMO.00002363.v1.g509900.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	8.23e-55	0.5	true	1	PF00107	1.5999999999999999e-29	89.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00002497.v1.g564520.t1	adh	Oxylipin and volatile-product chemistry								89.8	4.0999999999999994e-24	379	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g564520.t1	confirmed	confirmed	strong_only	True	False	6	10	motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	2.06e-17	0.6	true	2	both	2.7e-29	165.6	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002498.v1.g565590.t1	adh	Oxylipin and volatile-product chemistry								89.8	4.0999999999999994e-24	379	proteome_v1_exact	full_length	round1	GMO.00002498.v1.g565590.t1	confirmed	confirmed	strong_only	True	False	6	10	motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	2.06e-17	0.6	true	2	both	2.7e-29	165.6	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001343.v1.g156700.t1	adh	Oxylipin and volatile-product chemistry								89.5	5.3e-24	346	proteome_v1_exact	full_length	round1	GMO.00001343.v1.g156700.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	7.1900000000000015e-59	0.5	true	1	PF00107	4.0000000000000003e-29	88.4	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00001385.v1.g178490.t1	adh	Oxylipin and volatile-product chemistry								89.4	5.5999999999999996e-24	346	proteome_v1_exact	full_length	round1	GMO.00001385.v1.g178490.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	7.1900000000000015e-59	0.5	true	1	PF00107	4.3e-29	88.3	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00000531.v1.g012880.t1	adh	Oxylipin and volatile-product chemistry								89.2	6.6e-24	344	proteome_v1_exact	full_length	round1	GMO.00000531.v1.g012880.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	3.96e-61	0.5	true	1	PF00107	3.5e-29	88.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00000532.v1.g019730.t1	adh	Oxylipin and volatile-product chemistry								89.2	6.6e-24	344	proteome_v1_exact	full_length	round1	GMO.00000532.v1.g019730.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	3.96e-61	0.5	true	1	PF00107	3.5e-29	88.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00001570.v1.g197300.t2	adh	Oxylipin and volatile-product chemistry								89.2	6.499999999999999e-24	342	proteome_v1_exact	full_length	round1	GMO.00001570.v1.g197300.t2	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	3.96e-61	0.5	true	1	PF00107	3.5e-29	88.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00002253.v1.g378530.t1	adh	Oxylipin and volatile-product chemistry								89.1	7.000000000000001e-24	386	proteome_v1_exact	full_length	round1	GMO.00002253.v1.g378530.t1	confirmed	confirmed	strong_only	True	False	6	10	motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	1.74e-14	0.6	true	2	both	4.0000000000000003e-29	159.3	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002557.v1.g619440.t1	adh	Oxylipin and volatile-product chemistry								89.0	6.3999999999999995e-24	357	proteome_v1_exact	full_length	round1	GMO.00002557.v1.g619440.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	3.08e-51	0.8	true	2	both	4.3e-29	156.8	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002785.v1.g683860.t1	adh	Oxylipin and volatile-product chemistry								89.0	6.3999999999999995e-24	357	proteome_v1_exact	full_length	round1	GMO.00002785.v1.g683860.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	3.08e-51	0.8	true	2	both	4.3e-29	156.8	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002523.v1.g600910.t1	adh	Oxylipin and volatile-product chemistry								88.3	1.1e-23	207	proteome_v1_exact	full_length	round1	GMO.00002523.v1.g600910.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_3,motif_4,motif_7,motif_8,motif_9	3.1799999999999998e-24	0.5	true	1	PF08240	6e-29	87.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00001044.v1.g095330.t1	adh	Oxylipin and volatile-product chemistry								87.9	1.4000000000000002e-23	362	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095330.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.2699999999999999e-54	0.8	true	2	both	9.4e-29	154.5	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002283.v1.g425640.t1	adh	Oxylipin and volatile-product chemistry								87.9	1.4000000000000002e-23	362	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g425640.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.2699999999999999e-54	0.8	true	2	both	9.4e-29	154.9	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00000895.v1.g084520.t2	adh	Oxylipin and volatile-product chemistry								87.8	1.7e-23	474	proteome_v1_exact	full_length	round1	GMO.00000895.v1.g084520.t2	confirmed	confirmed	strong_only	True	False	7	10	motif_1,motif_10,motif_2,motif_3,motif_4,motif_7,motif_8	2.78e-14	0.7	true	2	both	2.2000000000000004e-28	132.7	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002453.v1.g537460.t2	adh	Oxylipin and volatile-product chemistry								87.6	1.9e-23	474	proteome_v1_exact	full_length	round1	GMO.00002453.v1.g537460.t2	confirmed	confirmed	strong_only	True	False	7	10	motif_1,motif_10,motif_2,motif_3,motif_4,motif_7,motif_8	2.78e-14	0.7	true	2	both	2.2000000000000004e-28	132.4	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001329.v1.g150790.t1	adh	Oxylipin and volatile-product chemistry								85.9	5.8e-23	357	proteome_v1_exact	full_length	round1	GMO.00001329.v1.g150790.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	2.33e-51	0.8	true	2	both	3.9000000000000004e-28	154.0	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002636.v1.g649590.t1	adh	Oxylipin and volatile-product chemistry								85.5	8.8e-23	343	proteome_v1_exact	full_length	round1	GMO.00002636.v1.g649590.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	2.3899999999999998e-54	0.5	true	1	PF00107	5.300000000000001e-28	84.7	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00000872.v1.g079640.t1	adh	Oxylipin and volatile-product chemistry								85.3	1e-22	343	proteome_v1_exact	full_length	round1	GMO.00000872.v1.g079640.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	3.44e-61	0.5	true	1	PF00107	5.9e-28	84.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00002319.v1.g473750.t1	adh	Oxylipin and volatile-product chemistry								85.3	1e-22	343	proteome_v1_exact	full_length	round1	GMO.00002319.v1.g473750.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	3.44e-61	0.5	true	1	PF00107	5.9e-28	84.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00002511.v1.g576080.t1	adh	Oxylipin and volatile-product chemistry								84.8	1.4000000000000002e-22	353	proteome_v1_exact	full_length	round1	GMO.00002511.v1.g576080.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	1.59e-56	0.5	true	1	PF00107	9.1e-28	84.0	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00001745.v1.g236760.t1	adh	Oxylipin and volatile-product chemistry								84.5	1.9e-22	346	proteome_v1_exact	full_length	round1	GMO.00001745.v1.g236760.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	1.13e-58	0.5	true	1	PF00107	1.1000000000000001e-27	83.8	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00002636.v1.g649580.t1	adh	Oxylipin and volatile-product chemistry								84.5	1.8000000000000001e-22	346	proteome_v1_exact	full_length	round1	GMO.00002636.v1.g649580.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	1.13e-58	0.5	true	1	PF00107	1.1000000000000001e-27	83.8	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00002280.v1.g425310.t1	adh	Oxylipin and volatile-product chemistry								84.2	2.2e-22	355	proteome_v1_exact	full_length	round1	GMO.00002280.v1.g425310.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	6.520000000000001e-56	0.5	true	1	PF00107	1.5e-27	83.3	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00002511.v1.g576090.t1	adh	Oxylipin and volatile-product chemistry								84.1	2.5000000000000002e-22	348	proteome_v1_exact	full_length	round1	GMO.00002511.v1.g576090.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	1.1e-54	0.5	true	1	PF00107	1.5e-27	83.3	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00001783.v1.g243640.t1	adh	Oxylipin and volatile-product chemistry								83.4	3.6000000000000003e-22	394	proteome_v1_exact	full_length	round1	GMO.00001783.v1.g243640.t1	confirmed	confirmed	strong_only	True	False	6	10	motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	2.9e-18	0.6	true	2	both	3.3e-27	145.2	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002280.v1.g425320.t1	adh	Oxylipin and volatile-product chemistry								83.4	4e-22	348	proteome_v1_exact	full_length	round1	GMO.00002280.v1.g425320.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	1.1e-54	0.5	true	1	PF00107	2.4e-27	82.6	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00002556.v1.g618990.t1	adh	Oxylipin and volatile-product chemistry								83.4	3.5000000000000005e-22	393	proteome_v1_exact	full_length	round1	GMO.00002556.v1.g618990.t1	confirmed	confirmed	strong_only	True	False	6	10	motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	2.9e-18	0.6	true	2	both	3.2000000000000003e-27	147.3	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001343.v1.g163470.t1	adh	Oxylipin and volatile-product chemistry								83.2	4.500000000000001e-22	350	proteome_v1_exact	full_length	round1	GMO.00001343.v1.g163470.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	7.74e-58	0.5	true	1	PF00107	2.7000000000000002e-27	82.5	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00001385.v1.g171730.t1	adh	Oxylipin and volatile-product chemistry								83.2	4.500000000000001e-22	350	proteome_v1_exact	full_length	round1	GMO.00001385.v1.g171730.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	7.74e-58	0.5	true	1	PF00107	2.7000000000000002e-27	82.5	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
GMO.00001745.v1.g236770.t1	adh	Oxylipin and volatile-product chemistry								82.9	5.5e-22	343	proteome_v1_exact	full_length	round1	GMO.00001745.v1.g236770.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_1,motif_2,motif_3,motif_4,motif_6	3.5e-54	0.5	true	1	PF00107	3.3e-27	82.2	all_required	PF00107,PF08240	2	1	partial	False	True	True	True	False	partial	True	False	removed_incomplete_expected_domain_architecture
