gene_id	family	biochemical_context	target_bin	length	score	evalue	source	sequence_scope	discovery_round	matched_protein_id	pfam_hit	full_length_reference_hit	passing_pfam_profiles	passing_full_length_reference_queries	search_route
GMO.00002283.v1.g425640.t1	ADH	Oxylipin and volatile-product chemistry	ADH	362	87.9	1.4e-23	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g425640.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00000895.v1.g084520.t2	ADH	Oxylipin and volatile-product chemistry	ADH	474	87.8	1.7e-23	proteome_v1_exact	full_length	round1	GMO.00000895.v1.g084520.t2	true	false	PF00107.33		pfam_only
GMO.00002453.v1.g537460.t2	ADH	Oxylipin and volatile-product chemistry	ADH	474	87.6	1.9e-23	proteome_v1_exact	full_length	round1	GMO.00002453.v1.g537460.t2	true	false	PF00107.33		pfam_only
GMO.00001329.v1.g150790.t1	ADH	Oxylipin and volatile-product chemistry	ADH	357	85.9	5.8e-23	proteome_v1_exact	full_length	round1	GMO.00001329.v1.g150790.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002636.v1.g649590.t1	ADH	Oxylipin and volatile-product chemistry	ADH	343	85.5	8.8e-23	proteome_v1_exact	full_length	round1	GMO.00002636.v1.g649590.t1	true	false	PF00107.33		pfam_only
GMO.00000872.v1.g079640.t1	ADH	Oxylipin and volatile-product chemistry	ADH	343	85.3	1e-22	proteome_v1_exact	full_length	round1	GMO.00000872.v1.g079640.t1	true	false	PF00107.33		pfam_only
GMO.00002319.v1.g473750.t1	ADH	Oxylipin and volatile-product chemistry	ADH	343	85.3	1e-22	proteome_v1_exact	full_length	round1	GMO.00002319.v1.g473750.t1	true	false	PF00107.33		pfam_only
GMO.00002511.v1.g576080.t1	ADH	Oxylipin and volatile-product chemistry	ADH	353	84.8	1.4e-22	proteome_v1_exact	full_length	round1	GMO.00002511.v1.g576080.t1	true	false	PF00107.33		pfam_only
GMO.00001745.v1.g236760.t1	ADH	Oxylipin and volatile-product chemistry	ADH	346	84.5	1.9e-22	proteome_v1_exact	full_length	round1	GMO.00001745.v1.g236760.t1	true	false	PF00107.33		pfam_only
GMO.00002636.v1.g649580.t1	ADH	Oxylipin and volatile-product chemistry	ADH	346	84.5	1.8e-22	proteome_v1_exact	full_length	round1	GMO.00002636.v1.g649580.t1	true	false	PF00107.33		pfam_only
GMO.00002280.v1.g425310.t1	ADH	Oxylipin and volatile-product chemistry	ADH	355	84.2	2.2e-22	proteome_v1_exact	full_length	round1	GMO.00002280.v1.g425310.t1	true	false	PF00107.33		pfam_only
GMO.00002511.v1.g576090.t1	ADH	Oxylipin and volatile-product chemistry	ADH	348	84.1	2.5e-22	proteome_v1_exact	full_length	round1	GMO.00002511.v1.g576090.t1	true	false	PF00107.33		pfam_only
GMO.00001783.v1.g243640.t1	ADH	Oxylipin and volatile-product chemistry	ADH	394	83.4	3.6e-22	proteome_v1_exact	full_length	round1	GMO.00001783.v1.g243640.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002280.v1.g425320.t1	ADH	Oxylipin and volatile-product chemistry	ADH	348	83.4	4e-22	proteome_v1_exact	full_length	round1	GMO.00002280.v1.g425320.t1	true	false	PF00107.33		pfam_only
GMO.00002556.v1.g618990.t1	ADH	Oxylipin and volatile-product chemistry	ADH	393	83.4	3.5e-22	proteome_v1_exact	full_length	round1	GMO.00002556.v1.g618990.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001343.v1.g163470.t1	ADH	Oxylipin and volatile-product chemistry	ADH	350	83.2	4.5e-22	proteome_v1_exact	full_length	round1	GMO.00001343.v1.g163470.t1	true	false	PF00107.33		pfam_only
GMO.00001385.v1.g171730.t1	ADH	Oxylipin and volatile-product chemistry	ADH	350	83.2	4.5e-22	proteome_v1_exact	full_length	round1	GMO.00001385.v1.g171730.t1	true	false	PF00107.33		pfam_only
GMO.00001745.v1.g236770.t1	ADH	Oxylipin and volatile-product chemistry	ADH	343	82.9	5.5e-22	proteome_v1_exact	full_length	round1	GMO.00001745.v1.g236770.t1	true	false	PF00107.33		pfam_only
GMO.00001570.v1.g197350.t1	ADH	Oxylipin and volatile-product chemistry	ADH	344	79.2	7.6e-21	proteome_v1_exact	full_length	round1	GMO.00001570.v1.g197350.t1	true	false	PF00107.33		pfam_only
GMO.00000574.v1.g029430.t1	ADH	Oxylipin and volatile-product chemistry	ADH	348	78.9	9.9e-21	proteome_v1_exact	full_length	round1	GMO.00000574.v1.g029430.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001808.v1.g249020.t1	ADH	Oxylipin and volatile-product chemistry	ADH	348	78.9	9.9e-21	proteome_v1_exact	full_length	round1	GMO.00001808.v1.g249020.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001366.v1.g169500.t1	ADH	Oxylipin and volatile-product chemistry	ADH	325	78.4	1.4e-20	proteome_v1_exact	full_length	round1	GMO.00001366.v1.g169500.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00000531.v1.g017320.t1	ADH	Oxylipin and volatile-product chemistry	ADH	341	78.3	1.5e-20	proteome_v1_exact	full_length	round1	GMO.00000531.v1.g017320.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001783.v1.g243630.t1	ADH	Oxylipin and volatile-product chemistry	ADH	409	76.3	5.7e-20	proteome_v1_exact	full_length	round1	GMO.00001783.v1.g243630.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002556.v1.g618980.t1	ADH	Oxylipin and volatile-product chemistry	ADH	409	73.9	3.2e-19	proteome_v1_exact	full_length	round1	GMO.00002556.v1.g618980.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001343.v1.g160560.t1	ADH	Oxylipin and volatile-product chemistry	ADH	321	68.8	1.3e-17	proteome_v1_exact	full_length	round1	GMO.00001343.v1.g160560.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001385.v1.g174970.t1	ADH	Oxylipin and volatile-product chemistry	ADH	321	68.5	1.5e-17	proteome_v1_exact	full_length	round1	GMO.00001385.v1.g174970.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002498.v1.g567040.t1	ADH	Oxylipin and volatile-product chemistry	ADH	339	66.6	6.1e-17	proteome_v1_exact	full_length	round1	GMO.00002498.v1.g567040.t1	true	false	PF08240.18		pfam_only
GMO.00001559.v1.g195870.t1	ADH	Oxylipin and volatile-product chemistry	ADH	388	66.4	7e-17	proteome_v1_exact	full_length	round1	GMO.00001559.v1.g195870.t1	true	false	PF08240.18		pfam_only
GMO.00002326.v1.g482160.t1	ADH	Oxylipin and volatile-product chemistry	ADH	388	66.3	7.3e-17	proteome_v1_exact	full_length	round1	GMO.00002326.v1.g482160.t1	true	false	PF08240.18		pfam_only
GMO.00002523.v1.g600860.t1	ADH	Oxylipin and volatile-product chemistry	ADH	161	63.5	5.4e-16	proteome_v1_exact	full_length	round1	GMO.00002523.v1.g600860.t1	true	false	PF00107.33		pfam_only
GMO.00002497.v1.g563110.t1	ADH	Oxylipin and volatile-product chemistry	ADH	334	63.3	6.4e-16	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g563110.t1	true	false	PF08240.18		pfam_only
GMO.00002498.v1.g567020.t2	ADH	Oxylipin and volatile-product chemistry	ADH	333	63.3	6.4e-16	proteome_v1_exact	full_length	round1	GMO.00002498.v1.g567020.t2	true	false	PF08240.18		pfam_only
GMO.00002497.v1.g563080.t1	ADH	Oxylipin and volatile-product chemistry	ADH	339	61.0	3.4e-15	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g563080.t1	true	false	PF08240.18		pfam_only
GMO.00001385.v1.g174950.t1	ADH	Oxylipin and volatile-product chemistry	ADH	262	59.1	1.3e-14	proteome_v1_exact	full_length	round1	GMO.00001385.v1.g174950.t1	true	false	PF00107.33		pfam_only
GMO.00002497.v1.g563100.t1	ADH	Oxylipin and volatile-product chemistry	ADH	345	57.0	6.1e-14	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g563100.t1	true	false	PF08240.18		pfam_only
GMO.00002497.v1.g563120.t2	ADH	Oxylipin and volatile-product chemistry	ADH	331	55.7	1.5e-13	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g563120.t2	true	false	PF08240.18		pfam_only
GMO.00002498.v1.g567010.t2	ADH	Oxylipin and volatile-product chemistry	ADH	331	55.7	1.5e-13	proteome_v1_exact	full_length	round1	GMO.00002498.v1.g567010.t2	true	false	PF08240.18		pfam_only
GMO.00002356.v1.g503070.t1	ADH	Oxylipin and volatile-product chemistry	ADH	385	55.5	1.7e-13	proteome_v1_exact	full_length	round1	GMO.00002356.v1.g503070.t1	true	false	PF00107.33		pfam_only
GMO.00002636.v1.g647740.t1	ADH	Oxylipin and volatile-product chemistry	ADH	366	54.9	2.7e-13	proteome_v1_exact	full_length	round1	GMO.00002636.v1.g647740.t1	true	false	PF08240.18		pfam_only
GMO.00001745.v1.g234870.t1	ADH	Oxylipin and volatile-product chemistry	ADH	366	53.2	8.8e-13	proteome_v1_exact	full_length	round1	GMO.00001745.v1.g234870.t1	true	false	PF08240.18		pfam_only
GMO.00002363.v1.g510460.t2	Alliinase	Sulfur release and comparative reference architectures	Alliinase	433	508.2	3.3e-151	proteome_v1_exact	full_length	round1	GMO.00002363.v1.g510460.t2	true	false	PF04864.20		pfam_only
GMO.00001056.v1.g098240.t1	Alliinase	Sulfur release and comparative reference architectures	Alliinase	494	503.7	7.8e-150	proteome_v1_exact	full_length	round1	GMO.00001056.v1.g098240.t1	true	false	PF04863.20;PF04864.20		pfam_only
GMO.00001056.v1.g098250.t1	Alliinase	Sulfur release and comparative reference architectures	Alliinase	480	501.4	4e-149	proteome_v1_exact	full_length	round1	GMO.00001056.v1.g098250.t1	true	false	PF04863.20;PF04864.20		pfam_only
GMO.00002363.v1.g510450.t2	Alliinase	Sulfur release and comparative reference architectures	Alliinase	475	500.3	8.4e-149	proteome_v1_exact	full_length	round1	GMO.00002363.v1.g510450.t2	true	false	PF04863.20;PF04864.20		pfam_only
GMO.00002325.v1.g481480.t1	Alliinase	Sulfur release and comparative reference architectures	Alliinase	412	489.1	2.1e-145	proteome_v1_exact	full_length	round1	GMO.00002325.v1.g481480.t1	true	false	PF04864.20		pfam_only
GMO.00002288.v1.g441120.t1	Alliinase	Sulfur release and comparative reference architectures	Alliinase	452	488.4	3.5e-145	proteome_v1_exact	full_length	round1	GMO.00002288.v1.g441120.t1	true	false	PF04864.20		pfam_only
GMO.00001376.v1.g170880.t1	Alliinase	Sulfur release and comparative reference architectures	Alliinase	452	488.3	3.7e-145	proteome_v1_exact	full_length	round1	GMO.00001376.v1.g170880.t1	true	false	PF04864.20		pfam_only
GMO.00000555.v1.g021720.t1	Alliinase	Sulfur release and comparative reference architectures	Alliinase	415	485.9	2e-144	proteome_v1_exact	full_length	round1	GMO.00000555.v1.g021720.t1	true	false	PF04864.20		pfam_only
GMO.00002363.v1.g510470.t1	Alliinase	Sulfur release and comparative reference architectures	Alliinase	465	485.4	2.9e-144	proteome_v1_exact	full_length	round1	GMO.00002363.v1.g510470.t1	true	false	PF04863.20;PF04864.20		pfam_only
GMO.00001056.v1.g098230.t1	Alliinase	Sulfur release and comparative reference architectures	Alliinase	358	466.2	1.9e-138	proteome_v1_exact	full_length	round1	GMO.00001056.v1.g098230.t1	true	false	PF04864.20		pfam_only
GMO.00002705.v1.g665510.t1	GGT	Conjugation, transfer, and redox chemistry	GGT	629	583.2	1.6e-173	proteome_v1_exact	full_length	round1	GMO.00002705.v1.g665510.t1	true	false	PF01019.27		pfam_only
GMO.00002711.v1.g667700.t1	GGT	Conjugation, transfer, and redox chemistry	GGT	629	582.9	1.9e-173	proteome_v1_exact	full_length	round1	GMO.00002711.v1.g667700.t1	true	false	PF01019.27		pfam_only
GMO.00001202.v1.g119250.t1	GGT	Conjugation, transfer, and redox chemistry	GGT	586	571.7	4.6e-170	proteome_v1_exact	full_length	round1	GMO.00001202.v1.g119250.t1	true	false	PF01019.27		pfam_only
GMO.00002283.v1.g429350.t1	GGT	Conjugation, transfer, and redox chemistry	GGT	586	571.7	4.6e-170	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g429350.t1	true	false	PF01019.27		pfam_only
GMO.00001200.v1.g119160.t1	GGT	Conjugation, transfer, and redox chemistry	GGT	310	300.1	9.5e-88	proteome_v1_exact	full_length	round1	GMO.00001200.v1.g119160.t1	true	false	PF01019.27		pfam_only
GMO.00001014.v1.g090870.t1	GST	Conjugation, transfer, and redox chemistry	GST	217	80.8	2.1e-21	proteome_v1_exact	full_length	round1	GMO.00001014.v1.g090870.t1	true	false	PF02798.27		pfam_only
GMO.00002518.v1.g587580.t1	GST	Conjugation, transfer, and redox chemistry	GST	217	80.8	2.1e-21	proteome_v1_exact	full_length	round1	GMO.00002518.v1.g587580.t1	true	false	PF02798.27		pfam_only
GMO.00002317.v1.g453350.t1	GST	Conjugation, transfer, and redox chemistry	GST	220	80.1	3.6e-21	proteome_v1_exact	full_length	round1	GMO.00002317.v1.g453350.t1	true	false	PF02798.27		pfam_only
GMO.00002695.v1.g660500.t1	GST	Conjugation, transfer, and redox chemistry	GST	220	80.1	3.6e-21	proteome_v1_exact	full_length	round1	GMO.00002695.v1.g660500.t1	true	false	PF02798.27		pfam_only
GMO.00002695.v1.g660490.t1	GST	Conjugation, transfer, and redox chemistry	GST	220	79.3	6.2e-21	proteome_v1_exact	full_length	round1	GMO.00002695.v1.g660490.t1	true	false	PF02798.27		pfam_only
GMO.00002317.v1.g453360.t1	GST	Conjugation, transfer, and redox chemistry	GST	220	78.3	1.3e-20	proteome_v1_exact	full_length	round1	GMO.00002317.v1.g453360.t1	true	false	PF02798.27		pfam_only
GMO.00001014.v1.g090820.t1	GST	Conjugation, transfer, and redox chemistry	GST	217	76.6	4.5e-20	proteome_v1_exact	full_length	round1	GMO.00001014.v1.g090820.t1	true	false	PF02798.27		pfam_only
GMO.00002518.v1.g587540.t1	GST	Conjugation, transfer, and redox chemistry	GST	217	76.6	4.5e-20	proteome_v1_exact	full_length	round1	GMO.00002518.v1.g587540.t1	true	false	PF02798.27		pfam_only
GMO.00000743.v1.g064240.t1	GST	Conjugation, transfer, and redox chemistry	GST	152	75.6	8.6e-20	proteome_v1_exact	full_length	round1	GMO.00000743.v1.g064240.t1	true	false	PF02798.27		pfam_only
GMO.00002271.v1.g399660.t1	GST	Conjugation, transfer, and redox chemistry	GST	152	75.6	8.6e-20	proteome_v1_exact	full_length	round1	GMO.00002271.v1.g399660.t1	true	false	PF02798.27		pfam_only
GMO.00002319.v1.g469450.t1	GST	Conjugation, transfer, and redox chemistry	GST	223	75.3	1.1e-19	proteome_v1_exact	full_length	round1	GMO.00002319.v1.g469450.t1	true	false	PF02798.27		pfam_only
GMO.00000827.v1.g069540.t1	GST	Conjugation, transfer, and redox chemistry	GST	226	74.6	1.8e-19	proteome_v1_exact	full_length	round1	GMO.00000827.v1.g069540.t1	true	false	PF02798.27		pfam_only
GMO.00000827.v1.g069550.t1	GST	Conjugation, transfer, and redox chemistry	GST	223	74.6	1.8e-19	proteome_v1_exact	full_length	round1	GMO.00000827.v1.g069550.t1	true	false	PF02798.27		pfam_only
GMO.00002319.v1.g469440.t1	GST	Conjugation, transfer, and redox chemistry	GST	226	74.4	2e-19	proteome_v1_exact	full_length	round1	GMO.00002319.v1.g469440.t1	true	false	PF02798.27		pfam_only
GMO.00002518.v1.g587570.t1	GST	Conjugation, transfer, and redox chemistry	GST	216	74.1	2.7e-19	proteome_v1_exact	full_length	round1	GMO.00002518.v1.g587570.t1	true	false	PF02798.27		pfam_only
GMO.00000174.v1.g002300.t1	GST	Conjugation, transfer, and redox chemistry	GST	223	73.8	3.2e-19	proteome_v1_exact	full_length	round1	GMO.00000174.v1.g002300.t1	true	false	PF02798.27		pfam_only
GMO.00002176.v1.g338040.t1	GST	Conjugation, transfer, and redox chemistry	GST	223	73.8	3.2e-19	proteome_v1_exact	full_length	round1	GMO.00002176.v1.g338040.t1	true	false	PF02798.27		pfam_only
GMO.00002518.v1.g587550.t1	GST	Conjugation, transfer, and redox chemistry	GST	217	73.8	3.3e-19	proteome_v1_exact	full_length	round1	GMO.00002518.v1.g587550.t1	true	false	PF02798.27		pfam_only
GMO.00001014.v1.g090830.t1	GST	Conjugation, transfer, and redox chemistry	GST	217	73.5	4.2e-19	proteome_v1_exact	full_length	round1	GMO.00001014.v1.g090830.t1	true	false	PF02798.27		pfam_only
GMO.00002176.v1.g338030.t1	GST	Conjugation, transfer, and redox chemistry	GST	229	73.4	4.4e-19	proteome_v1_exact	full_length	round1	GMO.00002176.v1.g338030.t1	true	false	PF02798.27		pfam_only
GMO.00002176.v1.g338060.t1	GST	Conjugation, transfer, and redox chemistry	GST	234	73.4	4.3e-19	proteome_v1_exact	full_length	round1	GMO.00002176.v1.g338060.t1	true	false	PF02798.27		pfam_only
GMO.00000174.v1.g002310.t1	GST	Conjugation, transfer, and redox chemistry	GST	229	73.3	4.7e-19	proteome_v1_exact	full_length	round1	GMO.00000174.v1.g002310.t1	true	false	PF02798.27		pfam_only
GMO.00002518.v1.g587600.t1	GST	Conjugation, transfer, and redox chemistry	GST	217	73.1	5.6e-19	proteome_v1_exact	full_length	round1	GMO.00002518.v1.g587600.t1	true	false	PF02798.27		pfam_only
GMO.00001014.v1.g090860.t1	GST	Conjugation, transfer, and redox chemistry	GST	217	73.0	5.7e-19	proteome_v1_exact	full_length	round1	GMO.00001014.v1.g090860.t1	true	false	PF02798.27		pfam_only
GMO.00002497.v1.g564340.t1	GST	Conjugation, transfer, and redox chemistry	GST	225	73.0	5.8e-19	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g564340.t1	true	false	PF02798.27		pfam_only
GMO.00002498.v1.g565780.t1	GST	Conjugation, transfer, and redox chemistry	GST	225	73.0	5.8e-19	proteome_v1_exact	full_length	round1	GMO.00002498.v1.g565780.t1	true	false	PF02798.27		pfam_only
