query_acc	subject_acc	p_identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score	family_slug	Classification	Specific tissues	Tau	query_length	query_coverage
GMO.00000837.v1.g071980.t1	F8388_006422	100.0	550	0	0	1	550	1	550	0.0	1138	aos_hpl	Mixed		0.816365717265327	551	0.9981851179673321
GMO.00000847.v1.g076170.t1	F8388_006511	100.0	502	0	0	1	502	1	502	0.0	1047	aos_hpl	Mixed		0.596110568859162	510	0.984313725490196
GMO.00000847.v1.g076190.t1	F8388_006511	100.0	502	0	0	1	502	963	1464	0.0	1034	aos_hpl	Mixed		0.596110568859162	503	0.9980119284294234
GMO.00000847.v1.g076200.t1	F8388_006509	100.0	500	0	0	1	500	22	521	0.0	1038	aos_hpl	Expressed-In-All		0.442873900382884	501	0.998003992015968
GMO.00000872.v1.g080170.t2	F8388_024253	100.0	544	0	0	1	544	23	566	0.0	1132	aos_hpl	Mixed		0.672078881916909	545	0.998165137614679
GMO.00000872.v1.g080230.t1	F8388_024257	100.0	464	0	0	1	464	1	464	0.0	960	oastl	Expressed-In-All		0.432727327746393	465	0.9978494623655914
GMO.00000892.v1.g082630.t2	F8388_007722	100.0	175	0	0	1	175	5	179	5.3200000000000005e-132	366	rhodanese	Expressed-In-All		0.799201299632735	176	0.9943181818181818
GMO.00000940.v1.g089160.t1	F8388_006076	100.0	486	0	0	1	486	58	543	0.0	1004	aos_hpl	Expressed-In-All		0.29424049554543	487	0.997946611909651
GMO.00000992.v1.g090290.t1	F8388_017461	100.0	397	0	0	1	397	1	397	0.0	822	fmo	Tissue-Specific	Seed	0.998516321769951	398	0.9974874371859297
GMO.00001014.v1.g090810.t1	F8388_015842	100.0	216	0	0	1	216	1	216	9.07e-162	444	gst	Expressed-In-All		0.697128953201685	217	0.9953917050691244
GMO.00001014.v1.g090820.t1	F8388_015843	100.0	216	0	0	1	216	1	216	1.17e-159	439	gst	Expressed-In-All		0.786911066253909	217	0.9953917050691244
GMO.00001014.v1.g090830.t1	F8388_015844	100.0	216	0	0	1	216	1	216	2.12e-160	441	gst	Expressed-In-All		0.737961565193396	217	0.9953917050691244
GMO.00001014.v1.g090860.t1	F8388_015850	100.0	211	0	0	1	211	1	211	2.66e-150	425	gst	Expressed-In-All		0.764065527562869	217	0.9723502304147466
GMO.00001014.v1.g090870.t1	F8388_015850	100.0	216	0	0	1	216	243	458	1.63e-156	441	gst	Expressed-In-All		0.764065527562869	217	0.9953917050691244
GMO.00001014.v1.g090940.t1	F8388_015851	100.0	216	0	0	1	216	1	216	5.72e-162	445	gst	Mixed		0.594071656714029	217	0.9953917050691244
GMO.00001016.v1.g092530.t1	F8388_007411	100.0	530	0	0	1	530	1	530	0.0	1091	aos_hpl	Tissue-Specific	Root	0.971773115853269	531	0.9981167608286252
GMO.00001044.v1.g095250.t1	F8388_005042	100.0	354	0	0	1	354	356	709	0.0	726	adh	Expressed-In-All		0.481855499009673	355	0.9971830985915493
GMO.00001047.v1.g096250.t1	F8388_008104	100.0	476	0	0	1	476	1	476	0.0	986	ugt	Tissue-Specific	Trichome	0.983594504385914	477	0.9979035639412998
GMO.00001111.v1.g108120.t1	F8388_019620	100.0	236	0	0	1	236	1	236	4.3099999999999997e-178	488	rhodanese	Mixed		0.665265657913109	237	0.9957805907172996
GMO.00001111.v1.g109930.t1	F8388_024538	100.0	310	0	0	1	310	1	310	0.0	639	sult	Mixed		0.7735376109477	311	0.9967845659163987
GMO.00001111.v1.g113660.t1	F8388_026410	100.0	491	0	0	1	491	1	491	0.0	1006	ugt	Expressed-In-All		0.762628092474103	492	0.9979674796747967
GMO.00001180.v1.g117620.t1	F8388_009740	100.0	505	0	0	1	505	34	538	0.0	1036	aos_hpl	Expressed-In-All		0.783100318256174	506	0.9980237154150198
GMO.00001197.v1.g118740.t1	F8388_013987	100.0	393	0	0	1	393	10	402	0.0	815	sams	Expressed-In-All		0.621462233043009	394	0.9974619289340102
GMO.00001207.v1.g119650.t1	F8388_008580	100.0	359	0	0	1	359	1	359	0.0	739	adh	Expressed-In-All		0.597621093900633	360	0.9972222222222222
GMO.00001227.v1.g123870.t1	F8388_020072	100.0	309	0	0	1	309	114	422	0.0	647	ugt	Mixed		0.7806662749812	310	0.9967741935483871
GMO.00001252.v1.g134800.t1	F8388_023144	100.0	328	0	0	1	328	1	328	0.0	675	sult	Mixed		0.87516638964701	329	0.9969604863221885
GMO.00001315.v1.g149120.t1	F8388_006128	100.0	509	0	0	1	509	1	509	0.0	1055	aos_hpl	Mixed		0.855554415475802	510	0.9980392156862745
GMO.00001329.v1.g150050.t1	F8388_000201	100.0	133	0	0	1	133	1	133	2.04e-97	275	ugt	Low_expressed			134	0.9925373134328358
GMO.00001343.v1.g156040.t1	F8388_010152	100.0	457	0	0	1	457	1	457	0.0	947	ugt	Low_expressed			458	0.9978165938864629
GMO.00001343.v1.g160000.t1	F8388_025388	100.0	481	0	0	1	481	1	481	0.0	996	aos_hpl	Low_expressed			482	0.9979253112033195
GMO.00001343.v1.g160360.t1	F8388_025421	100.0	490	0	0	1	490	1	490	0.0	1011	ugt	Mixed		0.841444831602174	491	0.9979633401221996
GMO.00001343.v1.g160370.t1	F8388_025422	100.0	462	0	0	24	485	1	462	0.0	951	ugt	Tissue-Specific	Trichome	0.929872827996014	486	0.9506172839506173
GMO.00001343.v1.g160560.t1	F8388_025437	100.0	320	0	0	1	320	1	320	0.0	635	adh	Expressed-In-All		0.264046159819935	321	0.9968847352024922
GMO.00001343.v1.g163340.t2	F8388_025697	100.0	494	0	0	1	494	30	523	0.0	1028	aos_hpl	Low_expressed			495	0.997979797979798
GMO.00001346.v1.g164340.t1	F8388_017643	100.0	494	0	0	1	494	1	494	0.0	1027	aos_hpl	Mixed		0.849999531221331	495	0.997979797979798
GMO.00001358.v1.g166420.t1	F8388_009285	100.0	514	0	0	1	514	1	514	0.0	1063	aos_hpl	Group-Enriched	Root; Hypocotyl	0.87026828307827	515	0.9980582524271845
GMO.00001366.v1.g167860.t1	F8388_012613	100.0	460	0	0	1	460	1	460	0.0	949	ugt	Tissue-Specific	Root	0.984822407487527	461	0.9978308026030369
GMO.00001385.v1.g171860.t2	F8388_025697	100.0	494	0	0	1	494	30	523	0.0	1028	aos_hpl	Low_expressed			495	0.997979797979798
GMO.00001385.v1.g172870.t1	F8388_025616	100.0	455	0	0	1	455	1	455	0.0	926	ugt	Tissue-Specific	Root	0.960428032120518	456	0.9978070175438597
GMO.00001385.v1.g176010.t1	F8388_010441	100.0	481	0	0	25	505	857	1337	0.0	1004	aos_hpl	Mixed		0.866625720415861	506	0.950592885375494
GMO.00001533.v1.g194870.t1	F8388_002878	100.0	134	0	0	1	134	1	134	3.88e-98	277	rhodanese	Expressed-In-All		0.425591814312614	135	0.9925925925925926
GMO.00001595.v1.g202070.t2	F8388_010681	100.0	463	0	0	1	463	20	482	0.0	956	ugt	Low_expressed			464	0.9978448275862069
GMO.00001635.v1.g216160.t1	F8388_002324	100.0	211	0	0	1	211	1	211	1.52e-154	426	ugt	Tissue-Specific	Root	1.0	212	0.9952830188679245
GMO.00001635.v1.g216200.t1	F8388_002322	100.0	414	0	0	1	414	1	414	0.0	849	ugt	Group-Enriched	Induced_male_flower; Bast_Fibre	0.848813135323364	478	0.8661087866108786
GMO.00001642.v1.g216320.t1	F8388_002090	100.0	519	0	0	1	519	1	519	0.0	1078	oastl	Housekeeping		0.325900291912549	520	0.9980769230769231
GMO.00001649.v1.g216600.t1	F8388_002389	100.0	524	0	0	1	524	1	524	0.0	1086	fmo	Mixed		0.804759249910013	525	0.9980952380952381
GMO.00001825.v1.g252830.t1	F8388_020643	100.0	400	0	0	1	400	1	400	0.0	821	adh	Tissue-Specific	Trichome	0.957973609132681	401	0.9975062344139651
GMO.00001837.v1.g256280.t1	F8388_023253	100.0	199	0	0	1	199	1	199	3.28e-148	416	aos_hpl	Low_expressed			232	0.8577586206896551
GMO.00002176.v1.g310420.t1	F8388_025791	100.0	279	0	0	1	279	1	279	0.0	586	aos_hpl	Mixed		0.83998485723373	342	0.8157894736842105
GMO.00002176.v1.g310450.t1	F8388_025797	100.0	501	0	0	1	501	1	501	0.0	1038	aos_hpl	Group-Enriched	Leaf; Flower_female	0.949227971392212	502	0.99800796812749
GMO.00002216.v1.g357410.t1	F8388_001111	100.0	325	0	0	1	325	1	325	0.0	652	oastl	Expressed-In-All		0.665708094579738	326	0.9969325153374233
GMO.00002251.v1.g368460.t1	F8388_022263	100.0	418	0	0	8	425	1	418	0.0	862	fmo	Mixed		0.789588902364181	426	0.9812206572769953
GMO.00002251.v1.g368480.t1	F8388_022267	100.0	417	0	0	1	417	1	417	0.0	868	fmo	Low_expressed			418	0.9976076555023924
GMO.00002253.v1.g369750.t1	F8388_001297	100.0	504	0	0	1	504	30	533	0.0	1055	aos_hpl	Tissue-Specific	Hypocotyl	0.933795280568266	505	0.998019801980198
GMO.00002253.v1.g370450.t1	F8388_002816	100.0	488	0	0	1	488	1	488	0.0	1008	ugt	Low_expressed			489	0.9979550102249489
GMO.00002253.v1.g371350.t1	F8388_013813	100.0	535	0	0	1	535	1	535	0.0	1118	aos_hpl	Tissue-Specific	Root	0.989700835834491	536	0.9981343283582089
GMO.00002253.v1.g372260.t1	F8388_019340	100.0	417	0	0	1	417	1	417	0.0	863	gst	Expressed-In-All		0.368144193188798	418	0.9976076555023924
GMO.00002253.v1.g377240.t1	F8388_012405	100.0	491	0	0	1	491	1	491	0.0	1013	ugt	Mixed		0.887858574275911	492	0.9979674796747967
GMO.00002253.v1.g378300.t1	F8388_012463	100.0	222	0	0	1	222	1	222	1.25e-168	462	gst	Expressed-In-All		0.560675351516358	223	0.9955156950672646
GMO.00002253.v1.g378900.t1	F8388_012501	100.0	515	0	0	1	515	1	515	0.0	1068	fmo	Mixed		0.793481301812634	516	0.998062015503876
GMO.00002253.v1.g388170.t2	F8388_001281	100.0	512	0	0	1	512	3	514	0.0	1053	aos_hpl	Low_expressed			513	0.9980506822612085
GMO.00002253.v1.g390980.t1	F8388_001658	100.0	490	0	0	1	490	1	490	0.0	1013	aos_hpl	Mixed		0.871603898971575	491	0.9979633401221996
GMO.00002271.v1.g399560.t1	F8388_025138	100.0	467	0	0	1	467	1	467	0.0	961	cbl	Expressed-In-All		0.5792226281857	468	0.9978632478632479
GMO.00002273.v1.g402620.t1	F8388_024441	100.0	479	0	0	1	479	1	479	0.0	987	ugt	Expressed-In-All		0.562490540125687	480	0.9979166666666667
GMO.00002275.v1.g406150.t1	F8388_021302	100.0	113	0	0	1	113	1	113	5.02e-81	235	rhodanese	Tissue-Specific	Root	0.995920092777646	137	0.8248175182481752
GMO.00002276.v1.g411740.t1	F8388_021275	100.0	581	0	0	1	581	1	581	0.0	1198	aos_hpl	Expressed-In-All		0.695039448041201	582	0.9982817869415808
GMO.00002277.v1.g422660.t1	F8388_020437	100.0	508	0	0	1	508	1	508	0.0	1055	myrosinase	Mixed		0.749078205151354	509	0.9980353634577603
GMO.00002283.v1.g430470.t1	F8388_008580	100.0	359	0	0	1	359	1	359	0.0	739	adh	Expressed-In-All		0.597621093900633	360	0.9972222222222222
GMO.00002283.v1.g431800.t1	F8388_017461	100.0	397	0	0	1	397	1	397	0.0	822	fmo	Tissue-Specific	Seed	0.998516321769951	398	0.9974874371859297
GMO.00002284.v1.g432920.t1	F8388_017511	100.0	161	0	0	1	161	1	161	9.47e-118	338	myrosinase	Tissue-Specific	Root	0.980267062288325	163	0.9877300613496932
GMO.00002284.v1.g433830.t1	F8388_017615	100.0	522	0	0	1	522	1	522	0.0	1085	aos_hpl	Tissue-Specific	Trichome	0.997419791166637	523	0.9980879541108987
GMO.00002284.v1.g433870.t1	F8388_017614	100.0	522	0	0	1	522	1	522	0.0	1081	aos_hpl	Expressed-In-All		0.812107517513961	523	0.9980879541108987
GMO.00002284.v1.g433880.t1	F8388_017613	100.0	520	0	0	1	520	1	520	0.0	1076	aos_hpl	Mixed		0.790516603738107	521	0.9980806142034548
GMO.00002288.v1.g440220.t1	F8388_010870	100.0	500	0	0	1	500	1	500	0.0	1036	aos_hpl	Low_expressed			511	0.9784735812133072
GMO.00002294.v1.g446750.t1	F8388_003076	100.0	478	0	0	1	478	1	478	0.0	995	fmo	Mixed		0.854976861219028	479	0.9979123173277662
GMO.00002294.v1.g447450.t1	F8388_003029	100.0	160	0	0	1	160	1	160	6.3e-115	322	aos_hpl	Mixed		0.683373593061755	161	0.9937888198757764
GMO.00002294.v1.g447480.t1	F8388_003028	100.0	360	0	0	1	360	155	514	0.0	743	aos_hpl	Expressed-In-All		0.621654372622771	361	0.997229916897507
GMO.00002315.v1.g452130.t1	F8388_003855	100.0	520	0	0	1	520	1	520	0.0	1078	aos_hpl	Tissue-Specific	Induced_male_flower	0.994120430049409	521	0.9980806142034548
GMO.00002317.v1.g452520.t1	F8388_003895	100.0	185	0	0	1	185	1	185	7.519999999999999e-139	384	lf_synthase	Expressed-In-All		0.687560495371878	186	0.9946236559139785
GMO.00002317.v1.g453350.t1	F8388_003973	100.0	219	0	0	1	219	718	936	5.88e-154	450	gst	Expressed-In-All		0.624540164427105	220	0.9954545454545455
GMO.00002319.v1.g458010.t1	F8388_006422	100.0	550	0	0	1	550	1	550	0.0	1138	aos_hpl	Mixed		0.816365717265327	551	0.9981851179673321
GMO.00002319.v1.g459150.t1	F8388_006509	100.0	500	0	0	1	500	22	521	0.0	1038	aos_hpl	Expressed-In-All		0.442873900382884	501	0.998003992015968
GMO.00002319.v1.g462550.t1	F8388_006784	100.0	298	0	0	1	298	210	507	0.0	619	aos_hpl	Expressed-In-All		0.748447974749031	317	0.9400630914826499
GMO.00002319.v1.g473200.t1	F8388_024257	100.0	464	0	0	1	464	1	464	0.0	960	oastl	Expressed-In-All		0.432727327746393	465	0.9978494623655914
GMO.00002325.v1.g478320.t2	F8388_006278	100.0	449	0	0	1	449	80	528	0.0	923	aos_hpl	Tissue-Specific	Root	0.90401056152664	450	0.9977777777777778
GMO.00002325.v1.g479740.t1	F8388_006185	100.0	529	0	0	1	529	1	529	0.0	1087	aos_hpl	Tissue-Specific	Seed	0.998120801750003	530	0.9981132075471698
GMO.00002325.v1.g480450.t1	F8388_006128	100.0	509	0	0	1	509	1	509	0.0	1055	aos_hpl	Mixed		0.855554415475802	510	0.9980392156862745
GMO.00002325.v1.g480460.t1	F8388_006126	100.0	509	0	0	1	509	1	509	0.0	1055	aos_hpl	Tissue-Specific	Hypocotyl	0.961574932572152	510	0.9980392156862745
GMO.00002325.v1.g480530.t1	F8388_006118	100.0	512	0	0	1	512	1	512	0.0	1065	aos_hpl	Tissue-Specific	Hypocotyl	0.935503806107932	513	0.9980506822612085
GMO.00002325.v1.g480800.t1	F8388_014932	100.0	500	0	0	1	500	1	500	0.0	1017	ugt	Expressed-In-All		0.712505043450801	501	0.998003992015968
GMO.00002338.v1.g493120.t1	F8388_024849	100.0	472	0	0	1	472	1	472	0.0	988	aos_hpl	Tissue-Specific	Root	0.928275759908018	473	0.9978858350951374
GMO.00002345.v1.g494660.t1	F8388_011845	100.0	204	0	0	1	204	1	204	5.74e-153	421	lf_synthase	Group-Enriched	Root; Seed	0.92486704404448	205	0.9951219512195122
GMO.00002354.v1.g500220.t1	F8388_009740	100.0	505	0	0	1	505	34	538	0.0	1036	aos_hpl	Expressed-In-All		0.783100318256174	506	0.9980237154150198
GMO.00002354.v1.g500740.t2	F8388_009773	100.0	512	0	0	1	512	17	528	0.0	1065	aos_hpl	Low_expressed			513	0.9980506822612085
GMO.00002356.v1.g502710.t1	F8388_009950	100.0	541	0	0	1	541	1	541	0.0	1105	aos_hpl	Tissue-Specific	Trichome	0.899010202656606	542	0.9981549815498155
GMO.00002363.v1.g507560.t1	F8388_001470	100.0	380	0	0	1	380	1	380	0.0	785	adh	Expressed-In-All		0.842029219543376	381	0.9973753280839895
GMO.00002363.v1.g509940.t1	F8388_000798	100.0	312	0	0	1	312	1	312	0.0	647	sult	Group-Enriched	Hypocotyl; Root	0.953458287031652	313	0.9968051118210862
GMO.00002364.v1.g511360.t1	F8388_000879	100.0	341	0	0	1	341	1	341	0.0	706	sult	Low_expressed			342	0.9970760233918129
GMO.00002425.v1.g524420.t1	F8388_008104	100.0	476	0	0	1	476	1	476	0.0	986	ugt	Tissue-Specific	Trichome	0.983594504385914	477	0.9979035639412998
GMO.00002427.v1.g526350.t1	F8388_026372	100.0	431	0	0	1	431	1	431	0.0	887	ugt	Mixed		0.807228809555108	466	0.924892703862661
GMO.00002427.v1.g526360.t1	F8388_026372	100.0	431	0	0	1	431	1	431	0.0	887	ugt	Mixed		0.807228809555108	466	0.924892703862661
GMO.00002427.v1.g527130.t1	F8388_016149	100.0	474	0	0	1	474	1	474	0.0	969	aos_hpl	Mixed		0.878376856705808	493	0.9614604462474645
GMO.00002452.v1.g534530.t1	F8388_015329	100.0	183	0	0	1	183	1	183	2.0899999999999998e-137	380	aoc	Mixed		0.650422496846792	184	0.9945652173913043
GMO.00002452.v1.g534540.t1	F8388_015330	100.0	249	0	0	1	249	1	249	0.0	505	aoc	Expressed-In-All		0.571163254309602	250	0.996
GMO.00002453.v1.g535350.t2	F8388_007722	100.0	175	0	0	1	175	5	179	5.3200000000000005e-132	366	rhodanese	Expressed-In-All		0.799201299632735	176	0.9943181818181818
GMO.00002453.v1.g537630.t2	F8388_007937	100.0	443	0	0	1	443	49	491	0.0	926	aos_hpl	Mixed		0.871319083154014	444	0.9977477477477478
GMO.00002453.v1.g537900.t1	F8388_007962	100.0	491	0	0	1	491	1	491	0.0	1019	ugt	Low_expressed			492	0.9979674796747967
GMO.00002453.v1.g537910.t1	F8388_007963	100.0	494	0	0	1	494	1	494	0.0	1026	ugt	Tissue-Specific	Bast_Fibre	0.965330347489174	495	0.997979797979798
GMO.00002453.v1.g539910.t1	F8388_007071	100.0	214	0	0	1	214	217	430	2.31e-158	444	gst	Expressed-In-All		0.54394518311792	215	0.9953488372093023
GMO.00002459.v1.g541550.t2	F8388_007198	100.0	381	0	0	1	381	1	381	0.0	796	fmo	Mixed		0.855083328259902	382	0.9973821989528796
GMO.00002459.v1.g541580.t1	F8388_007201	100.0	475	0	0	1	475	454	928	0.0	981	aos_hpl	Tissue-Specific	Hypocotyl	0.969216968987723	476	0.9978991596638656
GMO.00002459.v1.g541590.t1	F8388_007201	100.0	447	0	0	1	447	1	447	0.0	921	aos_hpl	Tissue-Specific	Hypocotyl	0.969216968987723	476	0.9390756302521008
GMO.00002460.v1.g543920.t1	F8388_013987	100.0	393	0	0	1	393	10	402	0.0	815	sams	Expressed-In-All		0.621462233043009	394	0.9974619289340102
GMO.00002466.v1.g547630.t1	F8388_014814	100.0	482	0	0	1	482	11	492	0.0	990	ugt	Low_expressed			499	0.9659318637274549
GMO.00002468.v1.g548470.t1	F8388_002878	100.0	134	0	0	1	134	1	134	3.88e-98	277	rhodanese	Expressed-In-All		0.425591814312614	135	0.9925925925925926
GMO.00002486.v1.g552560.t2	F8388_017520	100.0	427	0	0	1	427	48	474	0.0	892	aos_hpl	Low_expressed			428	0.9976635514018691
GMO.00002494.v1.g559400.t2	F8388_017042	100.0	115	0	0	1	115	432	546	4.52e-78	239	aos_hpl	Tissue-Specific	Root	0.987603527397957	116	0.9913793103448276
GMO.00002495.v1.g560520.t1	F8388_017643	100.0	494	0	0	1	494	1	494	0.0	1027	aos_hpl	Mixed		0.849999531221331	495	0.997979797979798
GMO.00002495.v1.g561710.t1	F8388_009285	100.0	514	0	0	1	514	1	514	0.0	1063	aos_hpl	Group-Enriched	Root; Hypocotyl	0.87026828307827	515	0.9980582524271845
GMO.00002497.v1.g564380.t1	F8388_009043	100.0	425	0	0	1	425	1	425	0.0	883	fmo	Mixed		0.725536086180254	426	0.9976525821596244
GMO.00002497.v1.g564520.t1	F8388_009033	100.0	378	0	0	1	378	1	378	0.0	777	adh	Expressed-In-All		0.435422042884978	379	0.9973614775725593
GMO.00002498.v1.g565590.t1	F8388_009033	100.0	378	0	0	1	378	1	378	0.0	777	adh	Expressed-In-All		0.435422042884978	379	0.9973614775725593
GMO.00002498.v1.g565740.t1	F8388_009043	100.0	425	0	0	1	425	1	425	0.0	883	fmo	Mixed		0.725536086180254	426	0.9976525821596244
GMO.00002523.v1.g599610.t1	F8388_022290	100.0	512	0	0	1	512	9	520	0.0	1060	aos_hpl	Low_expressed			513	0.9980506822612085
GMO.00002523.v1.g599950.t1	F8388_020789	100.0	526	0	0	1	526	1	526	0.0	1090	aos_hpl	Low_expressed			527	0.9981024667931688
GMO.00002523.v1.g604530.t1	F8388_025155	100.0	463	0	0	1	463	1	463	0.0	959	aos_hpl	Expressed-In-All		0.893225064163198	464	0.9978448275862069
GMO.00002582.v1.g624530.t1	F8388_007071	100.0	214	0	0	1	214	217	430	2.31e-158	444	gst	Expressed-In-All		0.54394518311792	215	0.9953488372093023
GMO.00002582.v1.g624550.t1	F8388_007069	100.0	213	0	0	1	213	1	213	1.25e-161	444	gst	Expressed-In-All		0.496891422435256	214	0.9953271028037384
GMO.00002652.v1.g654820.t1	F8388_002316	100.0	438	0	0	34	471	1	438	0.0	893	ugt	Tissue-Specific	Root	0.90385619878833	472	0.9279661016949152
GMO.00002652.v1.g654830.t1	F8388_002319	100.0	469	0	0	1	469	1	469	0.0	959	ugt	Mixed		0.83689580432472	470	0.997872340425532
GMO.00002652.v1.g654900.t1	F8388_002322	100.0	414	0	0	1	414	1	414	0.0	849	ugt	Group-Enriched	Induced_male_flower; Bast_Fibre	0.848813135323364	478	0.8661087866108786
GMO.00002652.v1.g654950.t1	F8388_002324	100.0	211	0	0	1	211	1	211	1.52e-154	426	ugt	Tissue-Specific	Root	1.0	212	0.9952830188679245
GMO.00002658.v1.g657180.t1	F8388_002422	100.0	484	0	0	1	484	1	484	0.0	990	ugt	Expressed-In-All		0.877761894170618	485	0.9979381443298969
GMO.00002695.v1.g660460.t1	F8388_003973	100.0	196	0	0	1	196	1	196	8.52e-137	406	gst	Expressed-In-All		0.624540164427105	224	0.875
GMO.00002695.v1.g660500.t1	F8388_003973	100.0	219	0	0	1	219	718	936	5.88e-154	450	gst	Expressed-In-All		0.624540164427105	220	0.9954545454545455
GMO.00002695.v1.g661220.t1	F8388_003906	100.0	478	0	0	1	478	1	478	0.0	984	ugt	Expressed-In-All		0.670039292125415	479	0.9979123173277662
GMO.00002695.v1.g661350.t1	F8388_003895	100.0	185	0	0	1	185	1	185	7.519999999999999e-139	384	lf_synthase	Expressed-In-All		0.687560495371878	186	0.9946236559139785
GMO.00002697.v1.g661790.t1	F8388_003855	100.0	520	0	0	1	520	1	520	0.0	1078	aos_hpl	Tissue-Specific	Induced_male_flower	0.994120430049409	521	0.9980806142034548
GMO.00002700.v1.g662400.t1	F8388_003810	100.0	534	0	0	1	534	1	534	0.0	1100	aos_hpl	Mixed		0.615283481233866	535	0.9981308411214953
GMO.00002711.v1.g667700.t1	F8388_003109	100.0	628	0	0	1	628	1	628	0.0	1296	ggt	Expressed-In-All		0.350445897121883	629	0.9984101748807631
GMO.00002725.v1.g671090.t1	F8388_016351	100.0	489	0	0	1	489	1	489	0.0	1008	aos_hpl	Expressed-In-All		0.743975821827297	490	0.9979591836734694
GMO.00002728.v1.g672240.t2	F8388_010681	100.0	463	0	0	1	463	20	482	0.0	956	ugt	Low_expressed			464	0.9978448275862069
GMO.00002782.v1.g683630.t1	F8388_014814	100.0	482	0	0	1	482	11	492	0.0	990	ugt	Low_expressed			499	0.9659318637274549
GMO.00002782.v1.g683640.t1	F8388_014813	100.0	493	0	0	1	493	1	493	0.0	1018	ugt	Tissue-Specific	Root	0.968687942063104	494	0.9979757085020243
GMO.00002802.v1.g687960.t1	F8388_002133	100.0	523	0	0	1	523	1	523	0.0	1077	aos_hpl	Tissue-Specific	Hypocotyl	0.985707571878152	524	0.9980916030534351
GMO.00002802.v1.g688190.t1	F8388_002117	100.0	522	0	0	1	522	1	522	0.0	1083	aos_hpl	Group-Enriched	Root; Hypocotyl	0.96865374612541	523	0.9980879541108987
GMO.00002805.v1.g688290.t1	F8388_025155	100.0	463	0	0	1	463	1	463	0.0	959	aos_hpl	Expressed-In-All		0.893225064163198	464	0.9978448275862069
